"statecode","countycode","race","county_value","GEOID","NAME","sum_of_tracts","diff"
"36","115","NHOPI Alone",20,"36115","Washington County, New York",20,0
"36","115","Other",976,"36115","Washington County, New York",976,0
"36","115","Two or More",1909,"36115","Washington County, New York",1909,0
"36","115","Non Hispanic White",54195,"36115","Washington County, New York",54195,0
"36","115","Hispanic",1198,"36115","Washington County, New York",1198,0
"36","117","White Alone",81488,"36117","Wayne County, New York",81488,0
"36","117","Black Alone",1524,"36117","Wayne County, New York",1524,0
"36","117","AIAN Alone",540,"36117","Wayne County, New York",540,0
"36","117","Asian Alone",527,"36117","Wayne County, New York",527,0
"36","117","NHOPI Alone",56,"36117","Wayne County, New York",56,0
"36","117","Other",1201,"36117","Wayne County, New York",1201,0
"36","117","Two or More",3746,"36117","Wayne County, New York",3746,0
"36","117","Non Hispanic White",80648,"36117","Wayne County, New York",80648,0
"36","117","Hispanic",3333,"36117","Wayne County, New York",3333,0
"36","119","White Alone",550632,"36119","Westchester County, New York",550632,0
"36","119","Black Alone",130508,"36119","Westchester County, New York",130508,0
"36","119","AIAN Alone",5584,"36119","Westchester County, New York",5584,0
"36","119","Asian Alone",61406,"36119","Westchester County, New York",61406,0
"36","119","NHOPI Alone",322,"36119","Westchester County, New York",322,0
"36","119","Other",126227,"36119","Westchester County, New York",126227,0
"36","119","Two or More",97223,"36119","Westchester County, New York",97223,0
"36","119","Non Hispanic White",506980,"36119","Westchester County, New York",506980,0
"36","119","Hispanic",251866,"36119","Westchester County, New York",251866,0
"36","121","White Alone",35043,"36121","Wyoming County, New York",35043,0
"36","121","Black Alone",150,"36121","Wyoming County, New York",150,0
"36","121","AIAN Alone",1,"36121","Wyoming County, New York",1,0
"36","121","Asian Alone",243,"36121","Wyoming County, New York",243,0
"36","121","NHOPI Alone",0,"36121","Wyoming County, New York",0,0
"36","121","Other",873,"36121","Wyoming County, New York",873,0
"36","121","Two or More",893,"36121","Wyoming County, New York",893,0
"36","121","Non Hispanic White",34740,"36121","Wyoming County, New York",34740,0
"36","121","Hispanic",992,"36121","Wyoming County, New York",992,0
"36","123","White Alone",22596,"36123","Yates County, New York",22596,0
"36","123","Black Alone",53,"36123","Yates County, New York",53,0
"36","123","AIAN Alone",16,"36123","Yates County, New York",16,0
"36","123","Asian Alone",150,"36123","Yates County, New York",150,0
"36","123","NHOPI Alone",0,"36123","Yates County, New York",0,0
"36","123","Other",171,"36123","Yates County, New York",171,0
"36","123","Two or More",356,"36123","Yates County, New York",356,0
"36","123","Non Hispanic White",22398,"36123","Yates County, New York",22398,0
"36","123","Hispanic",424,"36123","Yates County, New York",424,0
