"","statecode","countycode","state","county","fipscode","v156_rawvalue"
"37","01","069","AL","Houston County","01069",74.320118279874
"38","01","071","AL","Jackson County","01071",14.5976198315217
"39","01","073","AL","Jefferson County","01073",129.510273446464
"40","01","075","AL","Lamar County","01075",6.11400855979891
"41","01","077","AL","Lauderdale County","01077",64.7909129136656
"42","01","079","AL","Lawrence County","01079",15.0636119428705
"43","01","081","AL","Lee County","01081",82.8214093169737
"44","01","083","AL","Limestone County","01083",29.3453451887606
"45","01","085","AL","Lowndes County","01085",9.52309508872421
"46","01","087","AL","Macon County","01087",14.4419228742031
"47","01","089","AL","Madison County","01089",82.5492933134793
"48","01","091","AL","Marengo County","01091",20.429121758316
"49","01","093","AL","Marion County","01093",6.47523939192205
"50","01","095","AL","Marshall County","01095",36.7333225120734
"51","01","097","AL","Mobile County","01097",101.834297589691
"52","01","099","AL","Monroe County","01099",9.18307840307964
"53","01","101","AL","Montgomery County","01101",130.135788279676
"54","01","103","AL","Morgan County","01103",73.3557730125392
"55","01","105","AL","Perry County","01105",7.8474649548082
"56","01","107","AL","Pickens County","01107",9.80755133104381
"57","01","109","AL","Pike County","01109",36.9152308840456
"58","01","111","AL","Randolph County","01111",6.37281988465666
"59","01","113","AL","Russell County","01113",93.6301107859402
"60","01","115","AL","St. Clair County","01115",25.7731431663511
"61","01","117","AL","Shelby County","01117",46.5003151562356
"62","01","119","AL","Sumter County","01119",6.44235047218611
"63","01","121","AL","Talladega County","01121",22.876008221366
"64","01","123","AL","Tallapoosa County","01123",19.3050899130871
"65","01","125","AL","Tuscaloosa County","01125",132.146601571037
"66","01","127","AL","Walker County","01127",14.7268337605868
"67","01","129","AL","Washington County","01129",6.98138217933004
"68","01","131","AL","Wilcox County","01131",5.12772692299055
"69","01","133","AL","Winston County","01133",6.60979549654516
"70","02","000","AK","Alaska","02000",74.7631831525818
"71","02","013","AK","Aleutians East Borough","02013",NA
"72","02","016","AK","Aleutians West Census Area","02016",NA
"73","02","020","AK","Anchorage Borough","02020",152.304764814771
"74","02","050","AK","Bethel Census Area","02050",NA
"75","02","060","AK","Bristol Bay Borough","02060",NA
"76","02","063","AK","Chugach Census Area","02063",3.64671383441825
"77","02","066","AK","Copper River Census Area","02066",0.741403439489564
"78","02","068","AK","Denali Borough","02068",1.3407364393251
"79","02","070","AK","Dillingham Census Area","02070",NA
"80","02","090","AK","Fairbanks North Star Borough","02090",42.7372488524494
"81","02","100","AK","Haines Borough","02100",1.40689312648046
"82","02","105","AK","Hoonah-Angoon Census Area","02105",0.0411458617619252
"83","02","110","AK","Juneau Borough","02110",50.8779651773444
"84","02","122","AK","Kenai Peninsula Borough","02122",11.753322032346
"85","02","130","AK","Ketchikan Gateway Borough","02130",56.2949341496304
"86","02","150","AK","Kodiak Island Borough","02150",39.7681760371512
"87","02","158","AK","Kusilvak Census Area","02158",NA
"88","02","164","AK","Lake and Peninsula Borough","02164",NA
"89","02","170","AK","Matanuska-Susitna Borough","02170",19.8635014648327
"90","02","180","AK","Nome Census Area","02180",0.000331532218470705
"91","02","185","AK","North Slope Borough","02185",0.591809447401933
"92","02","188","AK","Northwest Arctic Borough","02188",NA
"93","02","195","AK","Petersburg Census Area","02195",NA
"94","02","198","AK","Prince of Wales-Hyder Census Area","02198",0.024468953317703
"95","02","220","AK","Sitka Borough","02220",55.290954722559
"96","02","230","AK","Skagway Municipality","02230",23.37960899
"97","02","240","AK","Southeast Fairbanks Census Area","02240",1.18111271028092
"98","02","275","AK","Wrangell City","02275",NA
"99","02","282","AK","Yakutat Borough","02282",NA
"100","02","290","AK","Yukon-Koyukuk Census Area","02290",0.30787893839168
"101","04","000","AZ","Arizona","04000",183.848875966089
"102","04","001","AZ","Apache County","04001",5.19156589728213
"103","04","003","AZ","Cochise County","04003",43.7711173152059
"104","04","005","AZ","Coconino County","04005",85.6815416495696
"105","04","007","AZ","Gila County","04007",37.1607466152945
"106","04","009","AZ","Graham County","04009",24.6944208039856
"107","04","011","AZ","Greenlee County","04011",35.01325413192
"108","04","012","AZ","La Paz County","04012",23.6626216463434
"109","04","013","AZ","Maricopa County","04013",244.157546622898
"110","04","015","AZ","Mohave County","04015",43.2215607959992
"111","04","017","AZ","Navajo County","04017",27.1239334611429
"112","04","019","AZ","Pima County","04019",144.635414003978
"113","04","021","AZ","Pinal County","04021",54.1688888171826
"114","04","023","AZ","Santa Cruz County","04023",35.5207743266635
"115","04","025","AZ","Yavapai County","04025",44.5325219815341
"116","04","027","AZ","Yuma County","04027",82.381172468592
"117","05","000","AR","Arkansas","05000",54.8522246128839
"118","05","001","AR","Arkansas County","05001",35.7957493262701
"119","05","003","AR","Ashley County","05003",14.6644554099218
"120","05","005","AR","Baxter County","05005",33.1165210542125
"121","05","007","AR","Benton County","05007",51.7960818644341
"122","05","009","AR","Boone County","05009",30.4820083157703
"123","05","011","AR","Bradley County","05011",25.9716264674244
"124","05","013","AR","Calhoun County","05013",4.85781917135772
"125","05","015","AR","Carroll County","05015",0.694676405075407
"126","05","017","AR","Chicot County","05017",10.6527771208513
"127","05","019","AR","Clark County","05019",47.4989037374807
"128","05","021","AR","Clay County","05021",11.095989705273
"129","05","023","AR","Cleburne County","05023",16.2344432354626
"130","05","025","AR","Cleveland County","05025",1.8368949281626
"131","05","027","AR","Columbia County","05027",30.0338458546767
"132","05","029","AR","Conway County","05029",23.0717304063547
"133","05","031","AR","Craighead County","05031",59.1024296755761
"134","05","033","AR","Crawford County","05033",44.41042701052
"135","05","035","AR","Crittenden County","05035",75.6364134266531
"136","05","037","AR","Cross County","05037",42.5646474428293
"137","05","039","AR","Dallas County","05039",7.4343855766754
"138","05","041","AR","Desha County","05041",24.7250592265097
"139","05","043","AR","Drew County","05043",27.2700652157877
"140","05","045","AR","Faulkner County","05045",54.8171197994356
"141","05","047","AR","Franklin County","05047",3.98298518028545
"142","05","049","AR","Fulton County","05049",8.41166712165407
"143","05","051","AR","Garland County","05051",61.9954232316706
"144","05","053","AR","Grant County","05053",17.7508030787584
"145","05","055","AR","Greene County","05055",46.8737681320206
"146","05","057","AR","Hempstead County","05057",30.8407643773156
"147","05","059","AR","Hot Spring County","05059",24.8026344146822
"148","05","061","AR","Howard County","05061",0.0834751830127191
"149","05","063","AR","Independence County","05063",33.2402836684298
"150","05","065","AR","Izard County","05065",0.432113591433165
"151","05","067","AR","Jackson County","05067",20.0321809016073
"152","05","069","AR","Jefferson County","05069",44.4239449313047
"153","05","071","AR","Johnson County","05071",23.4996927003876
"154","05","073","AR","Lafayette County","05073",9.23440905166233
"155","05","075","AR","Lawrence County","05075",31.5331134991093
"156","05","077","AR","Lee County","05077",7.55514177873245
"157","05","079","AR","Lincoln County","05079",8.44473128087962
"158","05","081","AR","Little River County","05081",14.593358296357
"159","05","083","AR","Logan County","05083",0.352787139000798
"160","05","085","AR","Lonoke County","05085",34.1478367757522
"161","05","087","AR","Madison County","05087",2.48701555842665
"162","05","089","AR","Marion County","05089",7.67776956824096
"163","05","091","AR","Miller County","05091",69.3615293616727
"164","05","093","AR","Mississippi County","05093",34.134963790685
"165","05","095","AR","Monroe County","05095",20.4668267640658
"166","05","097","AR","Montgomery County","05097",5.13526137218639
"167","05","099","AR","Nevada County","05099",5.07263437499652
"168","05","101","AR","Newton County","05101",2.81108432559975
"169","05","103","AR","Ouachita County","05103",19.4505705864291
"170","05","105","AR","Perry County","05105",1.37335203747683
"171","05","107","AR","Phillips County","05107",35.5194228803854
"172","05","109","AR","Pike County","05109",0.029019617376197
"173","05","111","AR","Poinsett County","05111",24.372416795505
"174","05","113","AR","Polk County","05113",16.4544841628866
"175","05","115","AR","Pope County","05115",33.6155033097386
"176","05","117","AR","Prairie County","05117",5.70664851239044
"177","05","119","AR","Pulaski County","05119",129.758004631882
"178","05","121","AR","Randolph County","05121",29.6302199443001
"179","05","123","AR","St. Francis County","05123",31.8807202166105
"180","05","125","AR","Saline County","05125",60.3993574193203
"181","05","127","AR","Scott County","05127",4.68973752390471
"182","05","129","AR","Searcy County","05129",7.29375245741159
"183","05","131","AR","Sebastian County","05131",97.9822720237923
"184","05","133","AR","Sevier County","05133",14.4237684553966
"185","05","135","AR","Sharp County","05135",9.68382284082816
"186","05","137","AR","Stone County","05137",0.0390087158742316
"187","05","139","AR","Union County","05139",32.2058946865516
"188","05","141","AR","Van Buren County","05141",7.83446032473604
"189","05","143","AR","Washington County","05143",72.3448497008531
"190","05","145","AR","White County","05145",29.3652359491206
"191","05","147","AR","Woodruff County","05147",0.271249523230065
"192","05","149","AR","Yell County","05149",13.746081213709
"193","06","000","CA","California","06000",485.177904078848
"194","06","001","CA","Alameda County","06001",683.016445311708
"195","06","003","CA","Alpine County","06003",4.203841192
"196","06","005","CA","Amador County","06005",52.3418572312583
"197","06","007","CA","Butte County","06007",156.660518838181
"198","06","009","CA","Calaveras County","06009",23.4916092672531
"199","06","011","CA","Colusa County","06011",121.767574944523
"200","06","013","CA","Contra Costa County","06013",376.863125519777
"201","06","015","CA","Del Norte County","06015",37.2309180845164
"202","06","017","CA","El Dorado County","06017",90.8272080997739
"203","06","019","CA","Fresno County","06019",228.649450389408
"204","06","021","CA","Glenn County","06021",85.2340908155357
"205","06","023","CA","Humboldt County","06023",158.200961811771
"206","06","025","CA","Imperial County","06025",185.98038227421
"207","06","027","CA","Inyo County","06027",60.3279986136108
"208","06","029","CA","Kern County","06029",204.087698943694
"209","06","031","CA","Kings County","06031",94.5916909416126
"210","06","033","CA","Lake County","06033",42.9044090259552
"211","06","035","CA","Lassen County","06035",26.4103245118668
"212","06","037","CA","Los Angeles County","06037",734.466457313129
"213","06","039","CA","Madera County","06039",135.806539273436
"214","06","041","CA","Marin County","06041",352.661756049514
"215","06","043","CA","Mariposa County","06043",11.2707778802716
"216","06","045","CA","Mendocino County","06045",65.9165629016262
"217","06","047","CA","Merced County","06047",165.683445252993
"218","06","049","CA","Modoc County","06049",18.0011663182863
"219","06","051","CA","Mono County","06051",56.7997413462035
"220","06","053","CA","Monterey County","06053",239.564767505965
"221","06","055","CA","Napa County","06055",196.682306664768
"222","06","057","CA","Nevada County","06057",79.1150665633208
"223","06","059","CA","Orange County","06059",720.282837136936
"224","06","061","CA","Placer County","06061",156.188275704726
"225","06","063","CA","Plumas County","06063",0.0321343593618766
"226","06","065","CA","Riverside County","06065",232.351284661925
"227","06","067","CA","Sacramento County","06067",371.790052136596
"228","06","069","CA","San Benito County","06069",120.160553456649
"229","06","071","CA","San Bernardino County","06071",317.320196605505
"230","06","073","CA","San Diego County","06073",440.11121037525
"231","06","075","CA","San Francisco County","06075",794.013859740152
"232","06","077","CA","San Joaquin County","06077",243.443632135254
"233","06","079","CA","San Luis Obispo County","06079",224.233998056516
"234","06","081","CA","San Mateo County","06081",642.198010149533
"235","06","083","CA","Santa Barbara County","06083",310.245597410234
"236","06","085","CA","Santa Clara County","06085",626.35804998729
"237","06","087","CA","Santa Cruz County","06087",323.508669842852
"238","06","089","CA","Shasta County","06089",113.444784527646
"239","06","091","CA","Sierra County","06091",0.614559263435856
"240","06","093","CA","Siskiyou County","06093",51.3386941926281
"241","06","095","CA","Solano County","06095",327.261054977548
"242","06","097","CA","Sonoma County","06097",246.002151202239
"243","06","099","CA","Stanislaus County","06099",206.062997167763
"244","06","101","CA","Sutter County","06101",156.694154667527
"245","06","103","CA","Tehama County","06103",50.3452626064263
"246","06","105","CA","Trinity County","06105",11.7433513412056
"247","06","107","CA","Tulare County","06107",150.86557867738
"248","06","109","CA","Tuolumne County","06109",42.6853309820593
"249","06","111","CA","Ventura County","06111",333.434816317265
"250","06","113","CA","Yolo County","06113",187.033877722794
"251","06","115","CA","Yuba County","06115",173.933389970765
"252","08","000","CO","Colorado","08000",164.629032415964
"253","08","001","CO","Adams County","08001",180.612644732191
"254","08","003","CO","Alamosa County","08003",65.5952666793935
"255","08","005","CO","Arapahoe County","08005",215.216533353341
"256","08","007","CO","Archuleta County","08007",16.8750214377204
"257","08","009","CO","Baca County","08009",23.2955497465288
"258","08","011","CO","Bent County","08011",21.0083638651476
"259","08","013","CO","Boulder County","08013",160.035183000522
"260","08","014","CO","Broomfield County","08014",118.77323709285
"261","08","015","CO","Chaffee County","08015",31.2932128391619
"262","08","017","CO","Cheyenne County","08017",15.9527344516156
"263","08","019","CO","Clear Creek County","08019",121.743448544968
"264","08","021","CO","Conejos County","08021",27.6468727935402
"265","08","023","CO","Costilla County","08023",14.4264474995778
"266","08","025","CO","Crowley County","08025",1.35284356200249
"267","08","027","CO","Custer County","08027",0.146161688410805
"268","08","029","CO","Delta County","08029",22.7368905535718
"269","08","031","CO","Denver County","08031",415.687543512439
"270","08","033","CO","Dolores County","08033",13.9106101822312
"271","08","035","CO","Douglas County","08035",107.023750670145
"272","08","037","CO","Eagle County","08037",67.5613165475394
"273","08","039","CO","Elbert County","08039",2.74415086750098
"274","08","041","CO","El Paso County","08041",140.870881534168
"275","08","043","CO","Fremont County","08043",26.5359153006873
"276","08","045","CO","Garfield County","08045",62.034456439694
"277","08","047","CO","Gilpin County","08047",6.63253158056727
"278","08","049","CO","Grand County","08049",27.454432406363
"279","08","051","CO","Gunnison County","08051",22.1534475212247
"280","08","053","CO","Hinsdale County","08053",0.006305299
"281","08","055","CO","Huerfano County","08055",25.232197177869
"282","08","057","CO","Jackson County","08057",31.5702058385164
"283","08","059","CO","Jefferson County","08059",152.350810855468
"284","08","061","CO","Kiowa County","08061",22.0948518560283
"285","08","063","CO","Kit Carson County","08063",21.9119799439803
"286","08","065","CO","Lake County","08065",27.642910706051
"287","08","067","CO","La Plata County","08067",55.9630207352117
"288","08","069","CO","Larimer County","08069",113.430886900991
"289","08","071","CO","Las Animas County","08071",40.5409205204814
"290","08","073","CO","Lincoln County","08073",17.0010104435039
"291","08","075","CO","Logan County","08075",56.9987675765085
"292","08","077","CO","Mesa County","08077",81.7173217007492
"293","08","079","CO","Mineral County","08079",0.244762309
"294","08","081","CO","Moffat County","08081",38.0657346939332
"295","08","083","CO","Montezuma County","08083",34.1168972964945
"296","08","085","CO","Montrose County","08085",50.1659889188094
"297","08","087","CO","Morgan County","08087",57.4780129787384
"298","08","089","CO","Otero County","08089",54.9259997333803
"299","08","091","CO","Ouray County","08091",27.038153805861
"300","08","093","CO","Park County","08093",6.81122283805994
"301","08","095","CO","Phillips County","08095",11.588602296829
"302","08","097","CO","Pitkin County","08097",60.725465620766
"303","08","099","CO","Prowers County","08099",68.9924525719133
"304","08","101","CO","Pueblo County","08101",98.9862195431336
"305","08","103","CO","Rio Blanco County","08103",10.4756083729463
"306","08","105","CO","Rio Grande County","08105",35.2426719373222
"307","08","107","CO","Routt County","08107",45.836345636098
"308","08","109","CO","Saguache County","08109",2.90552855788036
"309","08","111","CO","San Juan County","08111",3.028700862
"310","08","113","CO","San Miguel County","08113",6.54261960549839
"311","08","115","CO","Sedgwick County","08115",19.2168767544246
"312","08","117","CO","Summit County","08117",69.6981869126363
"313","08","119","CO","Teller County","08119",29.3779298287154
"314","08","121","CO","Washington County","08121",48.5186300266849
"315","08","123","CO","Weld County","08123",72.5871456818493
"316","08","125","CO","Yuma County","08125",23.954214991325
"317","09","000","CT","Connecticut","09000",217.121734549609
"318","09","001","CT","Fairfield County","09001",297.255342867741
"319","09","003","CT","Hartford County","09003",231.600212652594
"320","09","005","CT","Litchfield County","09005",55.7278174442953
"321","09","007","CT","Middlesex County","09007",102.465497961095
"322","09","009","CT","New Haven County","09009",262.020742104225
"323","09","011","CT","New London County","09011",90.9518683681926
"324","09","013","CT","Tolland County","09013",39.430439770627
"325","09","015","CT","Windham County","09015",53.2228915885208
"326","09","110","CT","Capitol Planning Region","09110",NA
"327","09","120","CT","Greater Bridgeport Planning Region","09120",NA
"328","09","130","CT","Lower Connecticut River Valley Planning Region","09130",NA
"329","09","140","CT","Naugatuck Valley Planning Region","09140",NA
"330","09","150","CT","Northeastern Connecticut Planning Region","09150",NA
"331","09","160","CT","Northwest Hills Planning Region","09160",NA
"332","09","170","CT","South Central Connecticut Planning Region","09170",NA
"333","09","180","CT","Southeastern Connecticut Planning Region","09180",NA
"334","09","190","CT","Western Connecticut Planning Region","09190",NA
"335","10","000","DE","Delaware","10000",111.47460386082
"336","10","001","DE","Kent County","10001",69.6239534632083
"337","10","003","DE","New Castle County","10003",156.466746301168
"338","10","005","DE","Sussex County","10005",34.5288784707769
"339","11","000","DC","District of Columbia","11000",573.194575918221
"340","11","001","DC","District of Columbia","11001",573.194575918221
"341","12","000","FL","Florida","12000",144.940396445876
"342","12","001","FL","Alachua County","12001",105.812232268854
"343","12","003","FL","Baker County","12003",23.1962063233155
"344","12","005","FL","Bay County","12005",78.8022324852768
"345","12","007","FL","Bradford County","12007",34.8311742189275
"346","12","009","FL","Brevard County","12009",87.6747561470635
"347","12","011","FL","Broward County","12011",247.88861223288
"348","12","013","FL","Calhoun County","12013",9.69688134666003
"349","12","015","FL","Charlotte County","12015",52.0179918879774
"350","12","017","FL","Citrus County","12017",22.6323380135907
"351","12","019","FL","Clay County","12019",57.9937223248569
"352","12","021","FL","Collier County","12021",74.9430870064568
"353","12","023","FL","Columbia County","12023",36.0149162911688
"354","12","027","FL","DeSoto County","12027",42.5989614972363
"355","12","029","FL","Dixie County","12029",10.3807269564179
"356","12","031","FL","Duval County","12031",136.328632167375
"357","12","033","FL","Escambia County","12033",108.965349179381
"358","12","035","FL","Flagler County","12035",50.1957501715625
"359","12","037","FL","Franklin County","12037",16.9207865553842
"360","12","039","FL","Gadsden County","12039",25.4379653226549
"361","12","041","FL","Gilchrist County","12041",7.19221134560758
"362","12","043","FL","Glades County","12043",11.3076514680935
"363","12","045","FL","Gulf County","12045",11.1746486847864
"364","12","047","FL","Hamilton County","12047",15.1637645126586
"365","12","049","FL","Hardee County","12049",37.0921627044963
"366","12","051","FL","Hendry County","12051",38.2789678701137
"367","12","053","FL","Hernando County","12053",47.5786025754145
"368","12","055","FL","Highlands County","12055",32.0852931341059
"369","12","057","FL","Hillsborough County","12057",150.901226574498
"370","12","059","FL","Holmes County","12059",5.4669280822724
"371","12","061","FL","Indian River County","12061",60.2840702355986
"372","12","063","FL","Jackson County","12063",14.0755655417108
"373","12","065","FL","Jefferson County","12065",13.6381814279736
"374","12","067","FL","Lafayette County","12067",7.60940185369603
"375","12","069","FL","Lake County","12069",60.3409735612938
"376","12","071","FL","Lee County","12071",80.9688571035975
"377","12","073","FL","Leon County","12073",87.5917849654343
"378","12","075","FL","Levy County","12075",16.12773627018
"379","12","077","FL","Liberty County","12077",9.20303706962702
"380","12","079","FL","Madison County","12079",3.38998431405274
"381","12","081","FL","Manatee County","12081",95.8579186646926
"382","12","083","FL","Marion County","12083",44.5342125124432
"383","12","085","FL","Martin County","12085",72.1658311515239
"384","12","086","FL","Miami-Dade County","12086",309.072610970097
"385","12","087","FL","Monroe County","12087",111.184528697463
"386","12","089","FL","Nassau County","12089",30.422247607795
"387","12","091","FL","Okaloosa County","12091",84.8442515105865
"388","12","093","FL","Okeechobee County","12093",31.760767032993
"389","12","095","FL","Orange County","12095",168.02280360059
"390","12","097","FL","Osceola County","12097",89.1377883755136
"391","12","099","FL","Palm Beach County","12099",186.769057145313
"392","12","101","FL","Pasco County","12101",69.424547108319
"393","12","103","FL","Pinellas County","12103",165.481913247091
"394","12","105","FL","Polk County","12105",72.3685274426925
"395","12","107","FL","Putnam County","12107",30.9595509300422
"396","12","109","FL","St. Johns County","12109",46.3378072055189
"397","12","111","FL","St. Lucie County","12111",89.887625439665
"398","12","113","FL","Santa Rosa County","12113",52.2117886884428
"399","12","115","FL","Sarasota County","12115",87.1408185798001
"400","12","117","FL","Seminole County","12117",130.506238177209
"401","12","119","FL","Sumter County","12119",26.6150833089783
"402","12","121","FL","Suwannee County","12121",16.5274765622379
"403","12","123","FL","Taylor County","12123",21.3003885984223
"404","12","125","FL","Union County","12125",11.7006454812147
"405","12","127","FL","Volusia County","12127",80.6405737321074
"406","12","129","FL","Wakulla County","12129",12.3822786541655
"407","12","131","FL","Walton County","12131",34.2784054744945
"408","12","133","FL","Washington County","12133",16.4341561535
"409","13","000","GA","Georgia","13000",104.122765578179
"410","13","001","GA","Appling County","13001",16.3301445440008
"411","13","003","GA","Atkinson County","13003",16.3795161008025
"412","13","005","GA","Bacon County","13005",12.6515325304059
"413","13","007","GA","Baker County","13007",0.227317894316257
"414","13","009","GA","Baldwin County","13009",33.0658272698127
"415","13","011","GA","Banks County","13011",8.32336055363535
"416","13","013","GA","Barrow County","13013",23.8746321341079
"417","13","015","GA","Bartow County","13015",41.5867654462664
"418","13","017","GA","Ben Hill County","13017",44.2696108931057
"419","13","019","GA","Berrien County","13019",2.49320802104364
"420","13","021","GA","Bibb County","13021",96.6297046908042
"421","13","023","GA","Bleckley County","13023",20.4984449313718
"422","13","025","GA","Brantley County","13025",5.99761395792845
"423","13","027","GA","Brooks County","13027",13.8515626329112
"424","13","029","GA","Bryan County","13029",32.0602604790659
"425","13","031","GA","Bulloch County","13031",30.2350870078785
"426","13","033","GA","Burke County","13033",16.584023375537
"427","13","035","GA","Butts County","13035",26.8068350379497
"428","13","037","GA","Calhoun County","13037",0.189616480138144
"429","13","039","GA","Camden County","13039",32.779042300994
"430","13","043","GA","Candler County","13043",6.48040078308149
"431","13","045","GA","Carroll County","13045",27.0234872487356
"432","13","047","GA","Catoosa County","13047",50.2743086500128
"433","13","049","GA","Charlton County","13049",12.2547480760451
"434","13","051","GA","Chatham County","13051",119.808582321665
"435","13","053","GA","Chattahoochee County","13053",7.53537279540554
"436","13","055","GA","Chattooga County","13055",22.7258233265999
"437","13","057","GA","Cherokee County","13057",51.2028409536262
"438","13","059","GA","Clarke County","13059",82.1397650244237
"439","13","061","GA","Clay County","13061",18.9537174384877
"440","13","063","GA","Clayton County","13063",108.839311083704
"441","13","065","GA","Clinch County","13065",18.9079462977535
"442","13","067","GA","Cobb County","13067",137.777097078213
"443","13","069","GA","Coffee County","13069",32.6222874027395
"444","13","071","GA","Colquitt County","13071",26.1452702055781
"445","13","073","GA","Columbia County","13073",45.5565121274573
"446","13","075","GA","Cook County","13075",42.0061962069474
"447","13","077","GA","Coweta County","13077",38.343069170596
"448","13","079","GA","Crawford County","13079",2.46853548523086
"449","13","081","GA","Crisp County","13081",38.3811990410104
"450","13","083","GA","Dade County","13083",26.7157269915095
"451","13","085","GA","Dawson County","13085",19.4331941613845
"452","13","087","GA","Decatur County","13087",39.2726373338
"453","13","089","GA","DeKalb County","13089",225.571731559517
"454","13","091","GA","Dodge County","13091",25.2953690596864
"455","13","093","GA","Dooly County","13093",12.6264515975141
"456","13","095","GA","Dougherty County","13095",64.8881690336941
"457","13","097","GA","Douglas County","13097",55.1040616250882
"458","13","099","GA","Early County","13099",10.6704071969172
"459","13","101","GA","Echols County","13101",4.9101495184557
"460","13","103","GA","Effingham County","13103",12.3004017088871
"461","13","105","GA","Elbert County","13105",27.437374861667
"462","13","107","GA","Emanuel County","13107",21.3978832282271
"463","13","109","GA","Evans County","13109",12.2864059720446
"464","13","111","GA","Fannin County","13111",15.6755194570148
"465","13","113","GA","Fayette County","13113",39.0847214243954
"466","13","115","GA","Floyd County","13115",51.1406478667049
"467","13","117","GA","Forsyth County","13117",36.081890806222
"468","13","119","GA","Franklin County","13119",17.6485163310595
"469","13","121","GA","Fulton County","13121",384.017745029213
"470","13","123","GA","Gilmer County","13123",6.86083565273724
"471","13","125","GA","Glascock County","13125",0.407064752470203
"472","13","127","GA","Glynn County","13127",75.3658630419544
"473","13","129","GA","Gordon County","13129",41.9532636165866
"474","13","131","GA","Grady County","13131",33.0308505530977
"475","13","133","GA","Greene County","13133",6.71120776931304
"476","13","135","GA","Gwinnett County","13135",89.6362550495325
"477","13","137","GA","Habersham County","13137",16.2319607542085
"478","13","139","GA","Hall County","13139",55.6658545953236
"479","13","141","GA","Hancock County","13141",0.220023802909732
"480","13","143","GA","Haralson County","13143",12.2285701465125
"481","13","145","GA","Harris County","13145",8.23389279820346
"482","13","147","GA","Hart County","13147",18.1011714621734
"483","13","149","GA","Heard County","13149",3.67108595532754
"484","13","151","GA","Henry County","13151",63.2098945294316
"485","13","153","GA","Houston County","13153",45.726266552257
"486","13","155","GA","Irwin County","13155",0.615092213461466
"487","13","157","GA","Jackson County","13157",28.605083869201
"488","13","159","GA","Jasper County","13159",0.828039234155477
"489","13","161","GA","Jeff Davis County","13161",9.21591140972745
"490","13","163","GA","Jefferson County","13163",15.4317979622749
"491","13","165","GA","Jenkins County","13165",9.53638612878201
"492","13","167","GA","Johnson County","13167",0.243149429683995
"493","13","169","GA","Jones County","13169",7.05987757475552
"494","13","171","GA","Lamar County","13171",21.6390917737585
"495","13","173","GA","Lanier County","13173",2.3162245266511
"496","13","175","GA","Laurens County","13175",28.3253354957802
"497","13","177","GA","Lee County","13177",19.3442432203274
"498","13","179","GA","Liberty County","13179",36.5200502557545
"499","13","181","GA","Lincoln County","13181",0.172613170017044
"500","13","183","GA","Long County","13183",10.6121036165609
"501","13","185","GA","Lowndes County","13185",59.8130797787032
"502","13","187","GA","Lumpkin County","13187",11.4522198687234
"503","13","189","GA","McDuffie County","13189",26.6140274015638
"504","13","191","GA","McIntosh County","13191",13.6892010062341
"505","13","193","GA","Macon County","13193",11.003282069721
"506","13","195","GA","Madison County","13195",9.26983221982348
"507","13","197","GA","Marion County","13197",0.37419687730755
"508","13","199","GA","Meriwether County","13199",2.36703522246387
"509","13","201","GA","Miller County","13201",11.0974060623987
"510","13","205","GA","Mitchell County","13205",20.2602549975243
"511","13","207","GA","Monroe County","13207",40.4085706737783
"512","13","209","GA","Montgomery County","13209",8.81534761953684
"513","13","211","GA","Morgan County","13211",16.5881120920697
"514","13","213","GA","Murray County","13213",12.2328785843154
"515","13","215","GA","Muscogee County","13215",101.055575986485
